,Cluster,N_Vars,Eigval1,Eigval2,VarProp,center,Variables
0,0,34,31.116931707609396,0.9974586712170218,0.9152038737532179,unitPrecipitationDays,aprHighF;aprRecordHighF;augHighF;augLowF;augRecordHighF;augRecordLowF;decRecordHighF;febRecordHighF;janRecordHighF;julHighF;julLowF;julRecordHighF;julRecordLowF;junHighF;junLowF;junRecordHighF;junRecordLowF;marRecordHighF;mayHighF;mayLowF;mayRecordHighF;novHighF;novRecordHighF;octHighF;octLowF;octRecordHighF;sepHighF;sepLowF;sepRecordHighF;unitPrecipitationDays;yearHighF;yearLowF;yearRecordHighF;sameAs
1,1,25,23.665819148538734,0.8675009735133974,0.9466327659415497,yearPercentsun,aprPercentsun;aprSun;augPercentsun;augSun;decPercentsun;decSun;febPercentsun;febSun;janPercentsun;janSun;julPercentsun;julSun;junPercentsun;junSun;marPercentsun;marSun;mayPercentsun;maySun;novPercentsun;novSun;octPercentsun;octSun;sepPercentsun;sepSun;yearPercentsun
2,2,14,12.519846246741439,0.6010137762525656,0.8942747319101032,wgs84_pos#lat,aprPrecipitationDays;augPrecipitationDays;decPrecipitationDays;febPrecipitationDays;janPrecipitationDays;julPrecipitationDays;junPrecipitationDays;marPrecipitationDays;mayPrecipitationDays;novPrecipitationDays;octPrecipitationDays;sepPrecipitationDays;yearPrecipitationDays;wgs84_pos#lat
3,3,18,17.82526282374369,0.12666132935815888,0.990292379096872,mayAvgRecordLowF,aprAvgRecordHighF;augAvgRecordHighF;augAvgRecordLowF;decAvgRecordHighF;febAvgRecordHighF;janAvgRecordHighF;julAvgRecordHighF;julAvgRecordLowF;junAvgRecordHighF;junAvgRecordLowF;marAvgRecordHighF;mayAvgRecordHighF;mayAvgRecordLowF;novAvgRecordHighF;octAvgRecordHighF;sepAvgRecordHighF;sepAvgRecordLowF;yearAvgRecordHighF
4,4,9,8.410329236296954,0.5740368118069213,0.9344810262552171,areaWaterKm,areaLand;areaLandKm;areaLandSqMi;areaTotal;areaTotalKm;areaTotalSqMi;areaWater;areaWaterKm;areaWaterSqMi
5,5,6,5.373156352933708,0.3748391315012195,0.8955260588222842,numberOfEmployees,assets;equity;netIncome;numberOfEmployees;operatingIncome;revenue
6,6,14,12.597361133063817,0.9991567291231176,0.8998115095045586,wikiPageID,aprHumidity;augHumidity;decHumidity;febHumidity;janHumidity;julHumidity;junHumidity;marHumidity;mayHumidity;novHumidity;octHumidity;sepHumidity;wikiPageID;yearHumidity
7,7,13,12.67170886610985,0.24609468246761373,0.9747468358546036,yearMeanF,aprMeanF;augMeanF;decMeanF;febMeanF;janMeanF;julMeanF;junMeanF;marMeanF;mayMeanF;novMeanF;octMeanF;sepMeanF;yearMeanF
8,8,9,8.083979524554902,0.5037667137751493,0.8982199471727672,octSnowDays,augSnowDays;augSnowInch;julSnowDays;julSnowInch;junSnowDays;maySnowDays;octSnowDays;sepSnowDays;unitSnowDays
9,9,13,11.696601247721594,0.7834150927631389,0.8997385575170458,julPrecipitationInch,aprPrecipitationInch;augPrecipitationInch;decPrecipitationInch;febPrecipitationInch;janPrecipitationInch;marPrecipitationInch;novPrecipitationInch;octPrecipitationInch;sepPrecipitationInch;yearPrecipitationInch;julPrecipitationInch;junPrecipitationInch;mayPrecipitationInch
12,12,10,8.61270298432543,0.8691149813563425,0.8612702984325435,aprSnowDays,aprSnowDays;decSnowDays;decSnowInch;febSnowDays;janSnowDays;janSnowInch;marSnowDays;novSnowDays;yearSnowDays;yearSnowInch
